"Label (Grouping)","United States!!Median earnings (dollars)!!Estimate","United States!!Median earnings (dollars) for male!!Estimate","United States!!Median earnings (dollars) for female!!Estimate"
"Full-time, year-round civilian employed population 16 years and over with earnings","57,216","62,668","51,400"
"    Management, business, science, and arts occupations:","78,838","92,092","68,211"
"        Management, business, and financial occupations:","84,423","95,730","74,230"
"            Management occupations","87,620","99,144","76,066"
"            Business and financial operations occupations","79,502","90,069","71,856"
"        Computer, engineering, and science occupations:","94,945","99,692","83,152"
"            Computer and mathematical occupations","100,196","103,298","87,509"
"            Architecture and engineering occupations","95,144","96,938","85,163"
"            Life, physical, and social science occupations","78,172","82,726","73,766"
"        Education, legal, community service, arts, and media occupations:","60,541","70,370","56,064"
"            Community and social service occupations","54,126","54,946","53,745"
"            Legal occupations","105,410","150,658","80,673"
"            Educational instruction, and library occupations","56,913","66,043","53,519"
"            Arts, design, entertainment, sports, and media occupations","63,876","67,623","60,840"
"        Healthcare practitioners and technical occupations:","76,047","95,762","72,119"
"            Health diagnosing and treating practitioners and other technical occupations","88,391","120,174","82,243"
"            Health technologists and technicians","50,800","58,076","48,512"
"    Service occupations:","36,225","41,475","31,960"
"        Healthcare support occupations","35,335","39,160","34,691"
"        Protective service occupations:","62,004","64,749","50,411"
"            Firefighting and prevention, and other protective service workers including supervisors","50,897","53,592","41,572"
"            Law enforcement workers including supervisors","72,224","75,273","61,104"
"        Food preparation and serving related occupations","30,448","32,097","27,393"
"        Building and grounds cleaning and maintenance occupations","34,080","37,239","29,141"
"        Personal care and service occupations","33,756","40,014","31,713"
"    Sales and office occupations:","47,167","56,483","42,390"
"        Sales and related occupations","53,543","63,240","42,808"
"        Office and administrative support occupations","44,038","50,124","42,303"
"    Natural resources, construction, and maintenance occupations:","51,155","51,568","37,784"
"        Farming, fishing, and forestry occupations","35,511","37,396","29,304"
"        Construction and extraction occupations","50,311","50,558","40,164"
"        Installation, maintenance, and repair occupations","54,671","54,928","46,973"
"    Production, transportation, and material moving occupations:","43,376","46,944","35,409"
"        Production occupations","45,073","49,667","36,546"
"        Transportation occupations","51,768","53,242","38,252"
"        Material moving occupations","36,154","37,573","32,174"